鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,value
九州旅客鉄道,大村線,諏訪,新大村,129.960084535,32.923910225,129.95713426499998,32.93302921,1,
九州旅客鉄道,大村線,新大村,竹松,129.95713426499998,32.93302921,129.95303,32.94006,1,
九州旅客鉄道,大村線,竹松,松原,129.95303,32.94006,129.94632000000001,32.977455,1,
九州旅客鉄道,大村線,松原,千綿,129.94632000000001,32.977455,129.945605,33.01307,1,
九州旅客鉄道,大村線,千綿,彼杵,129.945605,33.01307,129.91468500000002,33.03982,1,
九州旅客鉄道,大村線,彼杵,川棚,129.91468500000002,33.03982,129.864085,33.06837,1,
九州旅客鉄道,大村線,川棚,小串郷,129.864085,33.06837,129.834425,33.063725000000005,1,
九州旅客鉄道,大村線,小串郷,南風崎,129.834425,33.063725000000005,129.80065,33.08725,1,
九州旅客鉄道,大村線,南風崎,ハウステンボス,129.80065,33.08725,129.796285,33.09223,1,
九州旅客鉄道,大村線,ハウステンボス,早岐,129.796285,33.09223,129.79925,33.13312,1,
九州旅客鉄道,唐津線,西唐津,唐津,129.95788,33.46149,129.96866,33.44593,1,
九州旅客鉄道,唐津線,唐津,鬼塚,129.96866,33.44593,129.98711,33.421105,1,
九州旅客鉄道,唐津線,鬼塚,山本,129.98711,33.421105,129.98127,33.39326,1,
九州旅客鉄道,唐津線,山本,本牟田部,129.98127,33.39326,129.99669,33.372115,1,
九州旅客鉄道,唐津線,本牟田部,相知,129.99669,33.372115,130.01974,33.34695,1,
九州旅客鉄道,唐津線,相知,岩屋,130.01974,33.34695,130.038495,33.330805,1,
九州旅客鉄道,唐津線,岩屋,厳木,130.038495,33.330805,130.06029999999998,33.3234,1,
九州旅客鉄道,唐津線,厳木,多久,130.06029999999998,33.3234,130.09627999999998,33.288380000000004,1,
九州旅客鉄道,唐津線,多久,中多久,130.09627999999998,33.288380000000004,130.11229,33.28333,1,
九州旅客鉄道,唐津線,中多久,東多久,130.11229,33.28333,130.143165,33.28541,1,
九州旅客鉄道,唐津線,東多久,小城,130.143165,33.28541,130.19906500000002,33.2855,1,
九州旅客鉄道,唐津線,小城,久保田,130.19906500000002,33.2855,130.229425,33.25569,1,
九州旅客鉄道,日田彦山線,城野,石田,130.88637,33.858045,130.88914499999998,33.832184999999996,1,
九州旅客鉄道,日田彦山線,石田,志井公園,130.88914499999998,33.832184999999996,130.879725,33.81827,1,
九州旅客鉄道,日田彦山線,志井公園,志井,130.879725,33.81827,130.87480499999998,33.803875000000005,1,
九州旅客鉄道,日田彦山線,志井,石原町,130.87480499999998,33.803875000000005,130.866005,33.784665000000004,1,
九州旅客鉄道,日田彦山線,石原町,呼野,130.866005,33.784665000000004,130.86194,33.75505,1,
九州旅客鉄道,日田彦山線,呼野,採銅所,130.86194,33.75505,130.853135,33.707350000000005,1,
九州旅客鉄道,日田彦山線,採銅所,香春,130.853135,33.707350000000005,130.8469,33.665935000000005,1,
九州旅客鉄道,日田彦山線,香春,一本松,130.8469,33.665935000000005,130.835505,33.656009999999995,1,
九州旅客鉄道,日田彦山線,一本松,田川伊田,130.835505,33.656009999999995,130.81808,33.64214,1,
九州旅客鉄道,日田彦山線,田川伊田,田川後藤寺,130.81808,33.64214,130.80021499999998,33.630359999999996,1,
九州旅客鉄道,日田彦山線,田川後藤寺,池尻,130.80021499999998,33.630359999999996,130.80580500000002,33.613005,1,
九州旅客鉄道,日田彦山線,池尻,豊前川崎,130.80580500000002,33.613005,130.822115,33.596745,1,
九州旅客鉄道,日田彦山線,豊前川崎,西添田,130.822115,33.596745,130.84715,33.573375,1,
九州旅客鉄道,日田彦山線,西添田,添田,130.84715,33.573375,130.85652,33.567319999999995,1,
九州旅客鉄道,日田彦山線,添田,歓遊舎ひこさん,130.85652,33.567319999999995,130.85927,33.5552,1,
九州旅客鉄道,日田彦山線,歓遊舎ひこさん,豊前桝田,130.85927,33.5552,130.86223999999999,33.5358,1,
九州旅客鉄道,日田彦山線,豊前桝田,彦山,130.86223999999999,33.5358,130.86903999999998,33.50073,1,
九州旅客鉄道,日田彦山線,彦山,筑前岩屋,130.86903999999998,33.50073,130.88155999999998,33.43078,1,
